zipcode,unemployment rate,median household income,white,black,hispanic,asian,poverty rate,total population,white rate,black rate,hispanic rate,asian rate,average family size
62273,10.5,0,297,0,23,0,19.6,336,88.39285714,0,6.845238095,0,3.1
62274,2.5,42785,5786,1624,383,59,14.5,7911,73.13866768,20.52837821,4.841360131,0.745796992,3.2
62275,3.2,64583,3411,0,69,19,7.4,3520,96.90340909,0,1.960227273,0.539772727,2.87
62277,2.5,51995,1357,0,9,0,11.2,1383,98.12002892,0,0.650759219,0,2.87
62278,2,60651,6274,21,195,16,6.3,6603,95.01741633,0.318037256,2.95320309,0.2423141,2.99
62279,0,0,6,0,0,0,100,6,100,0,0,0,3.07
62280,3.2,82386,403,0,0,0,18.4,403,100,0,0,0,-
62281,4.7,95532,2777,0,57,0,3.2,2842,97.71287825,0,2.005629838,0,2.72
62282,4.6,62500,411,0,3,4,7.6,435,94.48275862,0,0.689655172,0.91954023,3.37
62284,1.5,49000,536,21,0,0,9.5,557,96.22980251,3.770197487,0,0,2.75
62285,2.3,71688,4034,129,191,18,3.2,4392,91.84881603,2.93715847,4.348816029,0.409836066,2.83
62286,3.4,48539,5283,790,26,65,15.1,6243,84.62277751,12.65417267,0.416466442,1.041166106,2.97
62288,4.7,58824,2981,77,23,0,7.7,3087,96.56624555,2.494331066,0.745059929,0,2.9
62289,5.4,43068,326,6,32,0,27.7,378,86.24338624,1.587301587,8.465608466,0,2.99
62292,2.8,37614,779,3,6,0,18,798,97.61904762,0.37593985,0.751879699,0,3.13
62293,2.7,69635,4449,10,71,32,5.5,4581,97.11853307,0.218292949,1.549879939,0.698537437,2.9
62294,2.6,79851,12702,250,619,234,4.4,14089,90.15544041,1.774433956,4.393498474,1.660870182,3.09
62295,4.5,81607,1338,5,56,9,3.1,1460,91.64383562,0.342465753,3.835616438,0.616438356,3
62297,0,62031,280,0,0,0,0,280,100,0,0,0,3.09
62298,2.8,71301,16447,77,253,48,4.6,16983,96.84390273,0.453394571,1.489725019,0.282635577,2.48
62301,4.5,38466,28180,2318,525,355,19.3,32219,87.46391881,7.194512555,1.629473292,1.101834321,3.01
62305,1.9,62211,18778,313,307,86,7.6,19606,95.77680302,1.596450066,1.56584719,0.438641232,2.95
62311,6.7,61094,645,9,18,0,16.9,672,95.98214286,1.339285714,2.678571429,0,2.94
62312,4.6,41903,2357,11,2,0,12.5,2395,98.41336117,0.459290188,0.083507307,0,2.57
62313,6.4,53523,379,0,0,0,9.5,379,100,0,0,0,3.28
62314,6.2,37500,631,0,0,0,10.8,638,98.90282132,0,0,0,2.63
62316,4.4,55938,533,0,0,0,19.7,537,99.25512104,0,0,0,3.58
62319,3.7,34722,196,0,0,0,15.8,196,100,0,0,0,3.06
62320,1.8,51604,1974,0,0,0,5,2043,96.6226138,0,0,0,2.23
62321,2.8,51961,3793,19,108,29,6.8,3982,95.25364139,0.477147162,2.712204922,0.728277248,2.85
62323,3,50938,188,0,0,0,2.1,191,98.42931937,0,0,0,2.86
62324,3.1,39625,1039,0,0,0,18.4,1054,98.57685009,0,0,0,2.67
62325,2.9,53929,472,0,0,33,20.8,507,93.09664694,0,0,6.50887574,2.82
62326,5.1,44756,2422,0,40,0,16.4,2470,98.05668016,0,1.619433198,0,3.04
62330,1.4,47714,1769,47,8,11,10.3,1841,96.08908202,2.552960348,0.434546442,0.597501358,3.15
62334,6.4,30938,131,0,2,0,40.3,134,97.76119403,0,1.492537313,0,2.74
62336,0,38750,10,0,0,0,0,10,100,0,0,0,3.25
62338,7.3,62375,1290,0,0,0,5.3,1290,100,0,0,0,2
62339,2.8,49107,760,0,25,0,10.3,827,91.89842805,0,3.022974607,0,3.1
62340,4,49922,1791,8,101,0,12.3,1923,93.13572543,0.416016641,5.252210088,0,2.6
62341,6.5,52558,3365,42,13,15,12.2,3489,96.44597306,1.203783319,0.372599599,0.429922614,3.3
62343,2.8,43878,833,14,19,8,4.8,881,94.55164586,1.589103292,2.156640182,0.908059024,2.81
62344,0,78625,46,0,0,0,0,46,100,0,0,0,3.39
62345,5.3,50833,391,0,0,0,3.6,393,99.49109415,0,0,0,2.19
62346,3.3,52813,162,0,0,0,2.4,165,98.18181818,0,0,0,2.63
62347,5.5,64861,1958,21,41,25,3.7,2059,95.09470617,1.019912579,1.991257892,1.214181642,2.37
62348,0,58224,164,0,3,1,3,168,97.61904762,0,1.785714286,0.595238095,2.93
62349,1.6,50865,514,0,14,10,5.8,550,93.45454545,0,2.545454545,1.818181818,2.56
62351,4.4,66250,1723,37,73,0,5.2,1833,93.99890889,2.018548827,3.98254228,0,2.93
62352,2.1,42500,254,0,1,0,33.3,255,99.60784314,0,0.392156863,0,2.94
62353,1.9,54375,3793,1463,224,24,14.4,5521,68.70132222,26.49882268,4.057236008,0.434703858,3.63
62354,2.5,50726,1560,4,21,11,5.3,1607,97.07529558,0.248911014,1.306782825,0.684505289,2.97
62355,1.4,41375,827,0,0,4,23.2,844,97.98578199,0,0,0.473933649,2.68
62356,3.4,35417,345,0,0,32,12.2,378,91.26984127,0,0,8.465608466,2.87
62357,16.2,21734,292,0,0,0,12.4,362,80.66298343,0,0,0,2.62
62358,3.3,56406,819,0,0,0,13.4,845,96.92307692,0,0,0,3.5
62359,5.4,48750,231,0,0,0,0,231,100,0,0,0,3.28
62360,4.5,55185,1879,0,0,0,8.5,1879,100,0,0,0,3.21
62361,6.5,44063,511,0,0,0,25.1,513,99.61013645,0,0,0,3.19
62362,0.4,32222,280,7,5,2,13.7,292,95.89041096,2.397260274,1.712328767,0.684931507,4.05
62363,2.5,39708,5555,230,57,3,12.7,5853,94.90859388,3.929608748,0.973859559,0.051255766,2.42
62365,3.4,49286,630,0,6,1,11.8,640,98.4375,0,0.9375,0.15625,2.64
62366,4.8,43942,1558,0,17,0,20.9,1616,96.41089109,0,1.051980198,0,3.2
62367,2.9,38393,818,0,0,0,19.4,826,99.031477,0,0,0,3.08
62370,7,39338,364,0,0,0,21.4,364,100,0,0,0,2.56
62373,0,66250,269,0,0,0,0,269,100,0,0,0,2.86
62374,5,30125,301,0,0,0,7.3,301,100,0,0,0,2.99
62375,9.3,96719,262,0,0,0,0.7,267,98.12734082,0,0,0,2.85
62376,0.4,47708,1124,0,4,0,8,1133,99.20564872,0,0.353045013,0,2.42
62378,1,56250,909,0,21,17,4.6,968,93.90495868,0,2.169421488,1.756198347,2.76
62379,3.7,51983,1681,0,82,25,13.7,1795,93.64902507,0,4.568245125,1.39275766,2.9
62380,0.9,0,328,0,0,0,9.9,343,95.62682216,0,0,0,3.14
62401,3.3,50290,17527,150,600,53,13.5,18647,93.9936719,0.804418941,3.217675766,0.284228026,3.27
62410,4.4,59286,1135,0,58,4,11.5,1197,94.82038429,0,4.845446951,0.334168755,2.97
62411,3.1,53144,4224,9,21,0,11.4,4271,98.89955514,0.210723484,0.491688129,0,3.26
62413,4.3,65714,382,0,0,0,15.7,382,100,0,0,0,2.98
62414,4.3,40547,1939,4,1,0,23.3,1948,99.53798768,0.205338809,0.051334702,0,2.98
62417,3.3,47296,3035,0,77,0,5.3,3117,97.36926532,0,2.47032403,0,3.11
62418,3.2,52115,1840,0,0,0,13.9,1851,99.40572663,0,0,0,2.85
62419,2.9,47917,310,0,0,0,4.8,310,100,0,0,0,3.08
62420,4.4,45758,4583,22,90,12,14.4,4756,96.36248949,0.462573591,1.89234651,0.252312868,2.97
62421,1,68958,606,0,12,1,3.4,654,92.66055046,0,1.834862385,0.152905199,2.78
62422,1.9,38214,973,5,20,0,20.8,1003,97.00897308,0.498504487,1.994017946,0,3.42
62423,0,69444,555,0,0,0,27.7,555,100,0,0,0,2.71
62424,1.5,60924,2297,1,15,8,9.1,2360,97.33050847,0.042372881,0.63559322,0.338983051,2.66
62425,4.2,51125,503,0,0,0,17.5,503,100,0,0,0,3.25
62426,3.4,40000,852,0,0,10,7,862,98.83990719,0,0,1.160092807,2.26
62427,2.3,60588,1687,0,0,2,5.5,1719,98.13845259,0,0,0.116346713,2.83
62428,4.6,43512,2724,3,0,12,17.8,2745,99.23497268,0.109289617,0,0.43715847,2.95
62431,3.3,40167,1082,0,0,0,21.4,1082,100,0,0,0,2.99
62432,4,50556,375,0,0,1,9.1,376,99.73404255,0,0,0.265957447,3.08
62433,1.9,46827,910,1,3,0,11.7,919,99.02067465,0.108813928,0.326441785,0,3.01
62434,6.4,50000,286,0,0,14,3.7,300,95.33333333,0,0,4.666666667,2.89
62436,8.8,43676,761,0,0,0,11.9,773,98.44760673,0,0,0,2.49
62438,9.6,43438,332,0,0,0,15.1,332,100,0,0,0,3.55
62439,2.8,42714,6719,28,146,46,20.9,7243,92.76542869,0.386580146,2.015739335,0.635095955,3.04
62440,4.5,58625,1276,3,8,11,9,1330,95.93984962,0.22556391,0.601503759,0.827067669,2.67
62441,4.2,55246,6509,27,131,71,18,6771,96.13055679,0.398759415,1.934721607,1.048589573,3.13
62442,4,51188,2655,0,15,0,8.6,2747,96.65089188,0,0.546050237,0,2.73
62443,3.9,53750,1650,16,0,0,8.7,1676,98.44868735,0.954653938,0,0,2.7
62444,0,41528,271,0,8,0,9.7,279,97.13261649,0,2.867383513,0,3.32
62445,3.3,64464,1175,0,20,5,4.9,1200,97.91666667,0,1.666666667,0.416666667,3.03
62446,1.8,68125,389,4,0,0,2.8,397,97.98488665,1.007556675,0,0,3.28
62447,2,47533,3494,0,119,26,15.4,3693,94.61142702,0,3.222312483,0.70403466,2.83
62448,1.7,51675,5416,28,92,0,13.7,5560,97.41007194,0.503597122,1.654676259,0,2.83
62449,2.4,43598,2956,30,21,0,11,3058,96.66448659,0.981033355,0.686723349,0,3.14
62450,3.9,43484,11702,59,237,112,16,12317,95.00690103,0.479012747,1.924169847,0.909312333,2.77
62451,4.5,43295,2010,2,0,0,16.1,2024,99.3083004,0.098814229,0,0,3.02
62452,8.6,37432,385,0,0,0,29.8,389,98.97172237,0,0,0,2.66
62454,3.7,47566,9596,780,533,66,12.1,11164,85.95485489,6.986743103,4.774274454,0.591185955,3.09
62458,4.1,42308,1937,0,5,0,17.7,1955,99.07928389,0,0.255754476,0,2.73
62459,5.8,44375,291,1,17,0,26.9,309,94.17475728,0.323624595,5.501618123,0,2.85
62460,3.9,40658,1167,0,0,12,12.2,1179,98.9821883,0,0,1.017811705,3.11
62461,0.7,63000,689,0,0,4,5.3,693,99.42279942,0,0,0.577200577,2.93
62462,1.5,46450,947,0,0,2,5.5,962,98.44074844,0,0,0.207900208,2.81
62463,0.5,53438,1169,0,8,65,13.1,1242,94.12238325,0,0.644122383,5.233494364,3.65
62465,1.2,70833,987,0,0,3,4.9,998,98.89779559,0,0,0.300601202,3.09
62466,2.2,45476,3023,1406,400,4,18.4,4942,61.16956698,28.45002023,8.093889114,0.080938891,3.12
62467,1.3,80545,4158,4,3,1,2.8,4171,99.68832414,0.095900264,0.071925198,0.023975066,2.51
62468,2.9,59327,2608,7,2,0,14.9,2720,95.88235294,0.257352941,0.073529412,0,3.37
62469,0,71648,553,0,0,0,1.6,553,100,0,0,0,3
62471,2.7,47013,8749,1090,339,39,16.3,10319,84.78534742,10.56303905,3.285202054,0.377943599,3.06
62473,4.7,61875,1524,6,1,0,12,1567,97.255903,0.382897256,0.063816209,0,3.27
62474,2.4,56103,984,3,3,0,9.5,987,99.69604863,0.303951368,0.303951368,0,3
62475,0,60402,377,8,0,0,15.8,385,97.92207792,2.077922078,0,0,2.72
62476,2.4,48000,1611,9,16,0,10,1645,97.9331307,0.547112462,0.972644377,0,2.3
62477,4.8,52813,944,0,0,0,3.1,944,100,0,0,0,2.81
62478,3.8,64219,384,2,0,0,7.3,386,99.48186528,0.518134715,0,0,2.98
62479,5.6,63487,1009,0,0,0,5.9,1010,99.9009901,0,0,0,2.93
62480,4,40114,476,1,0,0,17.7,480,99.16666667,0.208333333,0,0,3.49
62481,2,63566,376,0,32,0,7.4,470,80,0,6.808510638,0,2.61
62501,6.4,76164,2545,5,19,0,3.8,2792,91.15329513,0.179083095,0.680515759,0,2.87
62510,2.8,45938,1685,15,0,0,14.8,1747,96.45105896,0.858614768,0,0,2.91
62512,0,59464,460,2,0,0,3.9,465,98.92473118,0.430107527,0,0,2.89
62513,5.8,51292,1680,0,11,0,16.4,1744,96.33027523,0,0.630733945,0,3.51
62514,16.3,78500,254,0,0,0,17.7,254,100,0,0,0,3.41
62515,6.6,57361,959,0,26,9,12.8,996,96.28514056,0,2.610441767,0.903614458,3.04
62517,4.5,38438,169,0,5,2,16.9,174,97.12643678,0,2.873563218,1.149425287,2.84
62518,0,53355,228,0,0,0,2.6,228,100,0,0,0,2.66
62519,0,64167,82,0,0,0,0,82,100,0,0,0,2.19
62520,2.6,76500,1491,23,0,0,6.3,1525,97.7704918,1.508196721,0,0,1.88
62521,5.7,53892,27298,5388,961,409,15,35563,76.75955347,15.15057785,2.702246717,1.150071704,2.83
62522,5.5,44325,10998,2958,375,83,23.1,15442,71.22134439,19.1555498,2.428441912,0.537495143,2.98
62523,8,11091,685,547,34,0,80.3,1450,47.24137931,37.72413793,2.344827586,0,2.96
62526,5.9,39932,23616,5789,735,392,21.8,32926,71.72447306,17.58185021,2.232278443,1.190548503,2.92
62530,3.6,63419,1425,0,0,15,5.9,1442,98.82108183,0,0,1.040221914,3.04
62531,1.5,67500,1817,11,16,0,10.2,1848,98.32251082,0.595238095,0.865800866,0,2.67
62532,10.8,56250,120,0,0,0,0,120,100,0,0,0,2.75
62533,2.8,52250,820,8,5,0,14,836,98.0861244,0.956937799,0.598086124,0,3
62534,2.3,53315,1378,4,2,0,11.8,1384,99.56647399,0.289017341,0.144508671,0,2.77
62535,3.6,79205,2737,85,54,265,1.1,3289,83.21678322,2.58437215,1.641836424,8.057160231,2.94
62536,2,82981,815,0,11,0,10.8,840,97.02380952,0,1.30952381,0,3.1
62537,0,0,51,0,0,0,27.5,51,100,0,0,0,2.54
62538,6.2,45909,336,0,9,0,9.2,347,96.82997118,0,2.593659942,0,3
62539,4.9,68102,1400,0,15,0,6.8,1428,98.03921569,0,1.050420168,0,2.85
62540,5,43600,1555,0,61,0,20,1621,95.92843924,0,3.763109192,0,3.25
62541,0,0,22,0,0,0,0,30,73.33333333,0,0,0,2.89
62543,3.7,52250,455,0,8,0,12.3,497,91.54929577,0,1.609657948,0,-
62544,2.8,66161,1508,15,6,0,5.1,1616,93.31683168,0.928217822,0.371287129,0,2.58
62545,1.7,64732,1154,10,17,0,11.3,1186,97.30185497,0.84317032,1.433389545,0,2.91
62546,1.1,60000,1379,0,42,0,3,1423,96.90794097,0,2.951510892,0,2.96
62547,1.7,65139,790,4,0,3,4.3,801,98.6267166,0.49937578,0,0.374531835,2.86
62548,1.8,71458,2531,0,5,0,4,2623,96.49256576,0,0.190621426,0,2.9
62549,3,69342,5658,195,0,31,3,6271,90.22484452,3.109551906,0,0.494339021,2.92
62550,1.4,63013,2637,16,21,11,7,2708,97.37813885,0.59084195,0.775480059,0.40620384,3.23
62551,7.1,55662,532,3,0,0,8.9,564,94.32624113,0.531914894,0,0,2.93
62553,0.7,49868,558,0,0,0,4.3,558,100,0,0,0,2.74
62554,11.6,64643,1257,8,12,31,5.5,1485,84.64646465,0.538720539,0.808080808,2.087542088,3.39
62555,0.5,66250,496,0,3,0,5.7,499,99.3987976,0,0.601202405,0,2.98
62556,3.2,62625,282,0,0,0,5.7,282,100,0,0,0,2.95
62557,2.7,47513,6935,96,17,25,18.6,7111,97.52496133,1.350021094,0.239066235,0.351567993,2.59
62558,3.5,69330,3422,10,11,7,9.4,3477,98.41817659,0.287604257,0.316364682,0.20132298,2.7
62560,6.5,51917,1285,0,47,10,9.1,1361,94.41587068,0,3.45334313,0.734753857,3
62561,6,62012,5273,26,14,32,10.1,5409,97.48567203,0.480680348,0.258827879,0.591606582,2.94
62563,1.2,94303,5349,81,55,39,3,5575,95.94618834,1.452914798,0.986547085,0.69955157,2.89
62565,3.6,44497,6800,126,116,0,11.9,7083,96.00451786,1.778907243,1.637724128,0,3.01
62567,6.1,54135,977,0,61,4,15.2,1038,94.12331407,0,5.876685934,0.385356455,2.65
62568,2.5,49079,15053,433,278,119,10.8,16094,93.53175096,2.690443644,1.727351808,0.73940599,2.91
62570,2.5,46250,482,0,31,0,15.1,513,93.95711501,0,6.04288499,0,2.75
62571,2.5,44655,1497,0,0,0,13.1,1524,98.22834646,0,0,0,3.15
62572,9.9,44375,448,15,0,4,10.9,467,95.93147752,3.211991435,0,0.856531049,3.01
62573,5.6,61563,1620,17,79,0,6.7,1805,89.75069252,0.941828255,4.376731302,0,2.39
62601,0,79531,287,4,0,0,14.8,291,98.62542955,1.374570447,0,0,3.05
62610,17.9,32813,156,0,0,0,33.1,156,100,0,0,0,2.38
62611,2.1,65313,1122,0,56,0,6.3,1178,95.24617997,0,4.753820034,0,2.64
62612,2.8,65568,1746,0,14,0,4.6,1773,98.47715736,0,0.789622109,0,2.97
62613,3.3,68899,3850,12,24,43,8.2,4053,94.99136442,0.29607698,0.59215396,1.060942512,2.71
62615,3.9,61657,5329,177,128,44,7.7,5565,95.75920934,3.180592992,2.300089847,0.790655885,2.96
62617,7.6,42083,676,0,0,7,11.5,683,98.97510981,0,0,1.02489019,3
62618,5.5,43712,4837,545,2233,6,17.6,7597,63.66986969,7.173884428,29.39318152,0.078978544,2.86
62621,6.2,50714,1170,0,10,0,21.6,1180,99.15254237,0,0.847457627,0,3.15
62622,0,0,64,0,0,0,0,64,100,0,0,0,2.87
62624,4.9,45250,503,0,0,0,3.8,504,99.8015873,0,0,0,3.37
62625,0.8,90500,683,0,2,0,9.1,703,97.15504979,0,0.284495021,0,2.58
62626,5.5,56414,7155,178,156,46,15,7685,93.10344828,2.31620039,2.029928432,0.59856864,2.35
62627,2.5,52100,928,0,8,0,10.2,951,97.58149317,0,0.841219769,0,3
62628,4,56250,763,0,0,0,17.6,766,99.60835509,0,0,0,2.9
62629,2.3,82118,12911,98,338,169,4.6,13718,94.11721825,0.714389853,2.463916023,1.231958011,2.69
62630,1.9,72250,413,1,0,0,3.5,414,99.75845411,0.241545894,0,0,3.03
62631,0.6,46375,228,0,0,0,17.5,228,100,0,0,0,3.2
62633,8.6,49821,598,0,4,0,12.1,604,99.00662252,0,0.662251656,0,2.58
62634,4.7,60833,665,0,5,6,6.4,704,94.46022727,0,0.710227273,0.852272727,2.42
62635,5.3,55000,704,5,34,0,12.8,752,93.61702128,0.664893617,4.521276596,0,2.83
62638,3.3,66181,1323,0,7,0,10.6,1335,99.1011236,0,0.524344569,0,3.2
62639,1.8,52143,319,0,4,0,1.9,323,98.76160991,0,1.238390093,0,2.78
62640,2.9,60247,3698,4,7,31,8,3839,96.32716853,0.1041938,0.182339151,0.807501954,2.55
62642,2.4,60417,1409,11,48,0,6.6,1469,95.91558884,0.748808713,3.267528931,0,2.9
62643,0.9,60469,547,0,22,0,1.9,574,95.29616725,0,3.832752613,0,2.82
62644,5.2,39563,4892,27,31,16,16,5035,97.15988083,0.536246276,0.615690169,0.317775571,2.95
62649,7,60341,479,0,0,0,15.6,481,99.58419958,0,0,0,2.91
62650,3.6,47538,23121,2142,815,243,15.3,26858,86.08608236,7.975277385,3.034477623,0.904758359,3.34
62655,3.9,35000,538,0,0,0,29,558,96.41577061,0,0,0,2.73
62656,3.1,55094,16291,1986,835,221,11.2,19831,82.14916041,10.01462357,4.210579396,1.114416822,2.7
62661,4.6,59840,1242,8,64,5,10.4,1339,92.7557879,0.597460792,4.779686333,0.373412995,2.8
62663,6.7,40625,308,0,0,0,14.6,312,98.71794872,0,0,0,2.58
62664,3.3,42234,2854,58,0,0,16,2931,97.37291027,1.97884681,0,0,2.87
62665,3.5,43917,1310,0,0,0,13.7,1328,98.64457831,0,0,0,2.74
62666,2.6,69706,533,0,1,5,6.1,557,95.69120287,0,0.179533214,0.897666068,2.75
62667,2.9,47500,403,8,2,0,14.8,413,97.57869249,1.937046005,0.484261501,0,2.73
62668,2.2,50156,1278,0,4,0,14,1289,99.14662529,0,0.310318076,0,2.69
62670,2.7,68967,3191,25,25,11,8.2,3269,97.61394922,0.764759865,0.764759865,0.336494341,2.51
62671,4.5,57614,498,0,7,0,4,520,95.76923077,0,1.346153846,0,3.17
62672,7.3,45417,216,6,0,6,17.2,234,92.30769231,2.564102564,0,2.564102564,2.82
62673,6,69375,533,36,20,0,2.4,569,93.67311072,6.326889279,3.514938489,0,2.6
62674,5.1,53750,1291,2,17,0,15,1333,96.8492123,0.150037509,1.27531883,0,3.27
62675,2.4,60564,5644,40,67,0,14.9,5861,96.29756014,0.682477393,1.143149633,0,2.6
62677,2.4,59675,2237,18,51,8,8.2,2332,95.92624357,0.77186964,2.186963979,0.343053173,2.65
62681,3.8,46119,5214,398,13,0,26.1,5680,91.79577465,7.007042254,0.228873239,0,2.83
62682,3.1,66096,867,3,39,0,7.3,977,88.74104401,0.307062436,3.991811668,0,2.76
62684,3.6,101319,5202,0,160,0,2.7,5362,97.01603879,0,2.983961209,0,2.56
62685,2.7,63550,1952,82,18,3,9.3,2113,92.38050166,3.880738287,0.85186938,0.14197823,3.08
62688,4.1,55833,536,0,7,0,10.1,543,98.71086556,0,1.289134438,0,2.66
62689,2.8,47031,465,0,0,0,13.4,478,97.28033473,0,0,0,2.56
62690,6.6,56157,4047,8,19,0,8,4080,99.19117647,0.196078431,0.465686275,0,2.79
62691,4,52169,1835,15,100,35,9,2012,91.2027833,0.745526839,4.970178926,1.739562624,3.14
62692,3.6,48043,1994,9,5,0,13,2024,98.51778656,0.444664032,0.247035573,0,2.89
62693,1.3,88472,1635,0,8,0,5.9,1664,98.25721154,0,0.480769231,0,2.86
62694,4.9,53080,2910,6,8,0,11.1,2982,97.58551308,0.201207243,0.268276325,0,3.22
62695,4.4,39500,185,0,0,0,15.7,193,95.85492228,0,0,0,2.87
62701,1.9,18618,735,275,15,38,42.5,1109,66.27592426,24.79711452,1.352569883,3.42651037,2.69
62702,6,37536,26819,5658,533,311,26.3,34479,77.78357841,16.40998869,1.5458685,0.901998318,2.09
62703,7.6,37851,17068,11217,1080,319,32.6,31103,54.87573546,36.06404527,3.472333858,1.025624538,2.89
62704,4.2,53550,30155,6616,1337,1307,15.8,40306,74.815164,16.41442961,3.317124001,3.242693396,3.04
62707,4.9,67775,6755,263,70,144,11.3,7497,90.10270775,3.508069895,0.933706816,1.920768307,2.89
62711,2.5,102429,15067,407,329,968,2.1,17090,88.16266823,2.381509655,1.925102399,5.664131071,2.78
62712,1.8,86360,9189,361,104,400,5,10233,89.79771328,3.527802209,1.01631975,3.908922115,2.83
62801,4.9,40478,18017,2119,887,135,21.5,21888,82.31451023,9.681103801,4.05244883,0.616776316,2.96
62803,2.1,54926,1083,16,33,8,12.5,1215,89.13580247,1.316872428,2.716049383,0.658436214,2.8
62806,3.5,48717,3270,23,66,53,11.2,3435,95.19650655,0.669577875,1.92139738,1.54294032,3.36
62807,2.4,48500,785,0,0,2,18.6,791,99.2414665,0,0,0.252844501,2.84
62808,2.9,46103,1237,0,38,0,16.1,1279,96.71618452,0,2.971071149,0,2.72
62809,2.2,45714,115,0,0,0,4.3,115,100,0,0,0,3.13
62810,5.4,50208,969,0,0,0,20.4,984,98.47560976,0,0,0,2.44
62811,3.3,33333,211,0,0,0,32.2,212,99.52830189,0,0,0,3.21
62812,5.4,41102,10421,111,381,163,20.3,11132,93.61300755,0.997125404,3.422565577,1.464247215,2.39
62814,7.1,50486,2022,7,9,0,14.8,2099,96.33158647,0.333492139,0.428775607,0,2.9
62815,5.4,62813,369,0,2,0,6.1,377,97.87798408,0,0.530503979,0,3.08
62816,5.8,41905,1270,2,9,0,15.5,1297,97.91827294,0.154202005,0.693909021,0,3.31
62817,3.2,34583,478,0,0,0,29.3,478,100,0,0,0,2.96
62818,2.9,49000,239,0,0,0,10.8,241,99.17012448,0,0,0,2.25
62819,4.4,31111,434,0,0,0,31.8,434,100,0,0,0,2.67
62820,8,71458,142,0,0,0,4.9,144,98.61111111,0,0,0,3.59
62821,4,44607,6997,50,81,52,12.2,7233,96.73717683,0.691276096,1.119867275,0.718927139,2.74
62822,4.8,33681,3093,13,37,4,26.8,3158,97.94173528,0.411652945,1.171627612,0.126662445,2.71
62823,3,49432,1737,0,60,0,11.1,1805,96.23268698,0,3.324099723,0,2.98
62824,0.4,48750,1712,0,0,0,8.8,1721,99.47704823,0,0,0,2.82
62825,1.9,45625,170,0,0,0,10,170,100,0,0,0,2.96
62827,4.1,46875,1222,2,6,41,20.1,1295,94.36293436,0.154440154,0.463320463,3.166023166,3.05
62828,2.8,53555,1275,0,21,0,10.5,1296,98.37962963,0,1.62037037,0,2.77
62830,2.7,47813,1255,0,14,11,15,1310,95.80152672,0,1.06870229,0.839694656,2.69
62831,1.8,48077,424,7,2,0,12.9,442,95.92760181,1.583710407,0.452488688,0,-
62832,4.2,43361,8219,244,217,51,17.5,8946,91.873463,2.727475967,2.425665102,0.57008719,2.87
62833,2.7,82857,330,0,0,0,0,330,100,0,0,0,2.64
62835,5.9,31500,872,6,2,0,27,883,98.75424689,0.679501699,0.226500566,0,2.92
62836,0.7,68750,726,0,15,0,14.6,747,97.18875502,0,2.008032129,0,2.65
62837,2.9,44883,8303,75,151,66,17.4,8728,95.13061412,0.859303391,1.730064161,0.756186984,2.78
62838,5.9,40795,1643,0,43,0,24.2,1702,96.53349001,0,2.526439483,0,3.35
62839,3,46173,6255,40,28,2,16.3,6376,98.10225847,0.627352572,0.439146801,0.031367629,2.73
62841,1.3,63125,88,0,0,0,4.8,110,80,0,0,0,2.92
62842,2.9,47308,704,7,0,6,11.2,717,98.18688982,0.976290098,0,0.836820084,2.76
62843,0,45278,111,0,0,0,4.5,111,100,0,0,0,3.03
62844,5.2,47063,2048,0,40,3,15.1,2103,97.38468854,0,1.902044698,0.142653352,2.67
62846,0.7,37500,1544,929,286,0,27.1,2785,55.43985637,33.3572711,10.26929982,0,2.28
62848,2.3,59844,727,0,14,0,17.8,788,92.25888325,0,1.776649746,0,2.95
62849,4.8,52308,1975,4,19,34,8.7,2053,96.20068193,0.194836824,0.925474915,1.656113005,3.18
62850,4.2,61750,329,0,0,0,18.7,343,95.91836735,0,0,0,3.33
62851,2.3,0,210,0,0,2,7.9,215,97.6744186,0,0,0.930232558,2.91
62852,2.7,43750,84,0,0,0,19.8,86,97.6744186,0,0,0,3.49
62853,5.5,59792,902,0,7,14,9.1,923,97.7248104,0,0.758396533,1.516793066,3.33
62854,6.2,52330,1699,0,13,0,14.9,1726,98.43568946,0,0.753186559,0,2.43
62856,2.2,32813,343,0,0,0,27.6,355,96.61971831,0,0,0,3.03
62858,3.9,53371,2684,50,80,11,9.3,2838,94.57364341,1.761804087,2.81888654,0.387596899,3.37
62859,2.2,46014,5839,18,2,10,12.7,5876,99.37031995,0.306330837,0.03403676,0.170183799,2.42
62860,4,55990,544,0,0,0,14.6,549,99.08925319,0,0,0,2.68
62861,11.6,36944,172,0,0,0,27.9,172,100,0,0,0,3.03
62862,2.6,51587,314,0,2,0,3.4,321,97.81931464,0,0.62305296,0,2.99
62863,4.9,48682,9193,98,171,130,13.3,9713,94.64635025,1.008957068,1.760527129,1.338412437,3.02
62864,5.1,42197,19675,2335,531,405,21,23501,83.71984171,9.935747415,2.25947832,1.723330922,2.62
62865,3.3,55074,1965,5,9,0,19.7,2021,97.22909451,0.247402276,0.445324097,0,2.89
62867,5.3,37250,497,3,0,0,11.5,520,95.57692308,0.576923077,0,0,2.86
62868,2,64338,1642,12,15,4,10.9,1681,97.67995241,0.713860797,0.892325996,0.237953599,2.9
62869,5.4,51346,2723,0,67,7,12.5,2814,96.76616915,0,2.380952381,0.248756219,2.59
62870,4.3,47589,1934,45,21,0,16.3,2045,94.57212714,2.200488998,1.026894866,0,3
