zipcode,unemployment rate,median household income,white,black,hispanic,asian,poverty rate,total population,white rate,black rate,hispanic rate,asian rate,average family size
61872,0.5,70938,1004,0,2,0,6.4,1010,99.40594059,0,0.198019802,0,2.79
61873,1.4,84557,6412,2,70,79,4.8,6613,96.96053228,0.03024346,1.058521095,1.194616664,3.62
61874,1.8,64615,5468,452,540,1442,15.9,8220,66.52068127,5.498783455,6.569343066,17.54257908,3.15
61875,1.4,76641,751,0,0,12,19.7,763,98.42726081,0,0,1.572739187,3.24
61876,3.9,42000,698,0,96,0,20.3,794,87.9093199,0,12.0906801,0,2.89
61877,2.1,67734,1882,28,13,5,3.8,1931,97.46245469,1.450025893,0.673226308,0.258933195,3.09
61878,3.3,52098,1287,27,8,0,8.5,1335,96.40449438,2.02247191,0.599250936,0,2.95
61880,1.7,77448,3265,89,191,29,12.6,3603,90.61892867,2.470163752,5.301137941,0.804884818,2.59
61882,5.1,55341,659,0,3,0,16.4,739,89.17456022,0,0.405953992,0,3.12
61883,5.8,44342,3899,56,72,4,19,4244,91.87087653,1.319509896,1.696512724,0.094250707,2.79
61884,2.6,86875,1169,7,9,0,0,1185,98.64978903,0.5907173,0.759493671,0,2.9
61910,2.7,52454,3120,10,972,0,13.3,4122,75.69141194,0.242600679,23.58078603,0,2.65
61911,1.3,56667,4813,3,90,7,7.7,4942,97.38972076,0.060704168,1.821125051,0.141643059,3.29
61912,4,60000,1186,0,3,2,7.9,1193,99.41324392,0,0.25146689,0.167644593,3.65
61913,1.5,46917,1409,4,3,0,7.2,1446,97.44121715,0.276625173,0.20746888,0,2.7
61914,2.5,52679,1988,0,1,0,8.4,1989,99.94972348,0,0.050276521,0,2.95
61917,6.6,66161,674,0,4,0,11.3,682,98.82697947,0,0.586510264,0,3.03
61919,0.8,63269,928,0,3,0,9,931,99.67776584,0,0.322234157,0,2.86
61920,4.2,37347,21311,1610,885,607,28.7,24945,85.43195029,6.454199238,3.547805171,2.433353377,2.88
61924,3.2,60938,2245,43,9,2,9,2350,95.53191489,1.829787234,0.382978723,0.085106383,2.8
61925,0.8,59813,664,0,6,0,11.4,672,98.80952381,0,0.892857143,0,2.67
61928,1,36633,656,10,2,0,4,683,96.04685212,1.464128843,0.292825769,0,2.87
61929,2.2,45000,590,0,18,0,7.5,645,91.47286822,0,2.790697674,0,2.57
61930,3.3,52917,641,3,25,1,10.4,682,93.98826979,0.439882698,3.66568915,0.146627566,2.71
61931,5.2,53750,1144,1,35,0,10,1182,96.78510998,0.084602369,2.96108291,0,3.24
61932,3.8,41667,422,3,5,0,16.9,430,98.13953488,0.697674419,1.162790698,0,2.81
61933,6,39792,1010,0,2,0,16,1012,99.80237154,0,0.197628458,0,2.66
61936,6.4,43542,164,0,0,0,14,193,84.97409326,0,0,0,2.72
61937,1.7,56964,2220,21,17,0,13.6,2279,97.41114524,0.921456779,0.745941202,0,2.28
61938,4.7,44332,20804,377,286,31,16.1,21757,95.61980052,1.732775658,1.314519465,0.142482879,3.44
61940,3.3,50000,234,0,3,0,14.4,251,93.22709163,0,1.195219124,0,2.91
61941,0,0,54,0,0,0,100,54,100,0,0,0,2.41
61942,4.9,51477,1107,20,14,1,19.8,1208,91.63907285,1.655629139,1.158940397,0.082781457,1.93
61943,3.7,51023,1527,0,50,0,20.9,1582,96.52338812,0,3.160556258,0,2.73
61944,4.6,45826,11691,48,74,56,15.4,11918,98.09531801,0.40275214,0.620909549,0.469877496,2.8
61949,4,51375,132,0,0,5,7.3,137,96.35036496,0,0,3.649635036,2.66
61951,1.8,51740,7550,61,134,23,14.2,7844,96.25191229,0.777664457,1.708312086,0.293217746,2.24
61953,4.5,50874,5672,4,224,130,13.8,6091,93.12099819,0.065670662,3.677557051,2.134296503,2.86
61955,16.3,49063,200,6,0,0,24.1,232,86.20689655,2.586206897,0,0,3.2
61956,4.9,56379,2433,27,120,25,9.9,2680,90.78358209,1.007462687,4.47761194,0.932835821,3.59
61957,4.8,53421,1941,0,45,0,17.6,2001,97.00149925,0,2.248875562,0,2.92
62001,3,71495,1643,13,8,0,3.9,1664,98.73798077,0.78125,0.480769231,0,2.91
62002,7,42464,22290,7168,582,187,24.4,31489,70.7866239,22.76350472,1.848264473,0.593858173,2.84
62006,0,63021,600,0,0,0,2.2,600,100,0,0,0,3.01
62009,8.7,39850,1665,0,51,4,20.2,1731,96.18717504,0,2.94627383,0.2310803,3.26
62010,3.5,64880,11088,79,189,66,9.3,11571,95.82577132,0.682741336,1.633393829,0.570391496,3.05
62011,0,47000,153,0,0,0,8.3,157,97.4522293,0,0,0,3.12
62012,5.2,70478,6462,9,22,0,5.3,6500,99.41538462,0.138461538,0.338461538,0,2.45
62013,0.9,55000,506,0,0,0,9.9,506,100,0,0,0,2.91
62014,6.1,60361,4075,9,40,0,14.2,4247,95.95008241,0.211914292,0.9418413,0,2.96
62015,4.5,42083,434,0,16,0,4.3,461,94.14316703,0,3.470715835,0,3.16
62016,2.9,49406,3540,25,0,0,11.7,3583,98.79988836,0.697739325,0,0,2.57
62017,4.2,37826,898,0,0,6,18.9,918,97.82135076,0,0,0.653594771,2.97
62018,5.7,46883,2800,67,58,0,20.6,2977,94.0544172,2.25058784,1.948270071,0,2.54
62019,3.5,38906,370,0,0,3,17.4,373,99.19571046,0,0,0.804289544,2.93
62021,3.2,73333,853,0,12,0,5,865,98.61271676,0,1.387283237,0,2.42
